"","id","star","review","brand","location","position","price","clicked","booked"
"1",203,0,0,0,0,0,0,1,0
"2",203,4,4,0,4.06,1,2.17,0,0
"3",203,4,4.5,1,4.13,2,1.79,0,0
"4",203,4,4,1,4.09,3,1.92,0,0
"5",203,4,4,1,3.43,4,1.69,1,1
"6",203,4,4,1,4.16,6,1.86,0,0
"7",203,4,4,1,4.29,7,2.29,0,0
"8",203,5,4.5,1,3.66,8,2.04,0,0
"9",203,4,4,1,4.19,9,1.92,0,0
"10",203,4,4,0,4.04,10,1.8,0,0
"11",203,4,4,1,4.3,12,2.51,0,0
"12",375,0,0,0,0,0,0,1,0
"13",375,3,3.5,1,3.76,1,0.26,0,0
"14",375,5,4,1,4.19,2,1.1,0,0
"15",375,5,4.5,1,4.11,3,1.59,0,0
"16",375,4,4,1,4.16,4,0.61,0,0
"17",375,3,3.5,1,3.99,6,0.38,0,0
"18",375,4,4,0,4.06,7,0.8,0,0
"19",375,4,4,1,4.09,8,0.74,1,1
"20",375,3,3.5,0,3.04,9,0.39,0,0
"21",375,4,3.5,1,4.22,11,2.25,0,0
"22",375,4,4,1,3.43,12,0.96,0,0
"23",375,4,4,1,4.19,13,0.79,0,0
"24",375,4,3.5,1,3.95,14,0.5,0,0
"25",375,5,4.5,1,4.32,15,1.99,0,0
"26",375,5,4.5,1,4.08,17,2.19,0,0
"27",375,4,4.5,1,4.13,18,1.31,0,0
"28",375,3,3,1,4.16,19,0.32,0,0
"29",375,5,4.5,1,4.29,20,1.89,0,0
"30",375,5,4.5,1,4.16,21,1.49,0,0
"31",375,5,4.5,0,4.33,23,2,0,0
"32",375,3,4,1,4.32,24,0.86,0,0
"33",375,4,4,1,4.29,25,1.4,0,0
"34",375,4,4,1,4.25,26,1.15,0,0
"35",375,5,5,1,4.29,27,1.95,0,0
"36",375,4,4,0,4.04,28,0.6,0,0
"37",375,4,4,1,4.3,29,0.96,0,0
"38",375,5,4.5,1,4.08,30,2.19,0,0
"39",375,4,4.5,1,3.61,31,0.89,0,0
"40",375,2,3,1,4.32,32,0.48,0,0
"41",375,3,4,0,4.33,33,0.8,0,0
"42",375,3,4,1,4.33,34,1.1,0,0
"43",375,2,3,1,3.76,35,0.49,0,0
"44",375,5,5,1,3.37,36,2.19,0,0
"45",559,0,0,0,0,0,0,1,0
"46",559,5,4.5,0,4.33,1,1.98,0,0
"47",559,5,4.5,1,4.29,2,1.92,0,0
"48",559,5,4.5,1,4.08,3,2.06,0,0
"49",559,5,4.5,1,4.16,4,1.92,0,0
"50",559,5,4.5,1,4.32,6,1.61,0,0
"51",559,5,4.5,1,4.08,7,2.23,0,0
"52",559,5,4.5,1,4.11,8,1.96,1,1
"53",559,5,5,1,4.29,9,2.35,0,0
"54",559,5,5,1,3.37,10,2.64,0,0
"55",751,0,0,0,0,0,0,1,0
"56",751,3,4,1,4.32,1,2.46,0,0
"57",751,5,4.5,1,4.29,2,4.99,0,0
"58",751,5,4.5,1,4.08,3,4.99,0,0
"59",751,5,4.5,1,4.08,4,4.99,0,0
"60",751,4,4,0,4.06,6,3.35,0,0
"61",751,5,4,1,4.19,7,4.99,0,0
"62",751,4,4,1,4.3,8,3.74,0,0
"63",751,4,4.5,1,4.13,9,2.97,0,0
"64",751,5,4.5,1,4.32,10,4.28,0,0
"65",751,5,4.5,1,4.16,12,3.79,0,0
"66",751,4,4,1,4.25,13,2.99,0,0
"67",751,4,4,1,4.19,14,2.75,0,0
"68",751,5,4.5,1,4.11,15,3.79,0,0
"69",751,4,4.5,1,3.61,16,1.99,0,0
"70",751,3,3.5,1,3.99,18,1.95,0,0
"71",751,5,4.5,0,4.33,19,5,0,0
"72",751,4,4,1,3.43,20,2,0,0
"73",751,4,3.5,1,4.22,21,2.55,0,0
"74",751,4,4,1,4.16,22,2.46,0,0
"75",751,3,3.5,0,3.04,24,1.64,0,0
"76",751,4,3.5,1,3.95,25,2.39,0,0
